id,label,text,view
0,Settings,Not a member? Sign up now. FORGOT PASSWORD LOGIN Password Password Username Username MOBIPAYCASH,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.Button android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.TextView
1,ForgotPass,Forgot Password,android.widget.LinearLayout android.widget.ScrollView android.webkit.WebView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
2,Register,Registration,android.widget.LinearLayout android.widget.ScrollView android.webkit.WebView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
3,Askpin,Sign In Enter 4 Digit PIN The Application is protected with Security PIN. Please Enter your security PIN to open the application. Sign In,android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.TextView
4,MainMenu,TextView Balance Name,android.widget.LinearLayout android.widget.GridView android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.ImageView android.webkit.WebView android.widget.LinearLayout android.widget.TableLayout android.widget.TableRow android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.ImageView
5,Security,Save Skip Confirm 4 Digit PIN 4 Digit PIN OFF ON Security Settings,android.widget.LinearLayout android.widget.LinearLayout android.widget.TableLayout android.widget.TableRow android.widget.Button android.widget.Button android.widget.EditText android.widget.EditText android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.TextView
6,MobileRecharge,Proceed to Recharge We are not responsible for any wrong recharges please double check the mobile number and amount before recharging. Amount must be valid Amount Select Operator Mobile Operator Mobile number must be 10 digits Mobile Number Mobile Recharge,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
7,DthRecharge,Proceed to Recharge We are not responsible for any wrong recharges please double check the mobile number and amount before recharging. Amount must be valid Amount Select Operator DTH Operator Subscriber Number Subscriber Number DTH Recharge,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
8,AddRetailer,Add Retailer Name Username Mobile Add Retailer,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
9,DataCard,Proceed to Recharge We are not responsible for any wrong recharges please double check the mobile number and amount before recharging. Amount must be valid Amount Select Operator Data Card Operator Mobile number must be 10 digits Number Data Recharge,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
10,Postpaid,Proceed to Pay We are not responsible for any wrong recharges please double check the mobile number and amount before recharging. Amount must be valid Amount Select Operator Mobile Operator Mobile number must be 10 digits Mobile Number Postpaid Bills,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
11,Electricity,Proceed to Pay We are not responsible for any wrong recharges please double check the mobile number and amount before recharging. Amount must be valid Amount Select Provider Provider Account No Account No Electricity,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
12,Gas,Proceed to Pay We are not responsible for any wrong recharges please double check the mobile number and amount before recharging. Amount must be valid Amount Select Provider Provider Account No Account No Gas,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
13,Insurance,Proceed to Pay We are not responsible for any wrong recharges please double check the mobile number and amount before recharging. dd/MM/yyyy Date of Birth Amount must be valid Amount Select Provider Provider Account Number Number Insurance,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
14,Profile,Address Company Email Name Mobile Username Profile,android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
15,PayRequest,Update Payment,android.widget.LinearLayout android.widget.LinearLayout android.webkit.WebView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
16,Payment,Retailer List Payment Summary,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.ScrollView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
17,CheckDispute,Check Status Recharge Id required Please enter the Recharge Id to get the status of the recharge transaction Check Status,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
18,SearchNumber,Search Number is required Search Recharge,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.EditText android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
19,RetailerList,Retailer List Search Mobile or Username is required Retailer List,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TableLayout android.widget.TableRow android.widget.Button android.widget.EditText android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
20,AboutUs,About Us About Us,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.ScrollView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
21,ContactUs,Contact Us Contact Us,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.ScrollView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
22,CommDetails,My Commission My Commission,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
23,CreditReport,Credit Report,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
24,Reports,Recharge List,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
25,ChangePIN,Change Password Confirm New Password New Password Current Password Change Password,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
26,ChangePIN2,Change PIN Confirm New PIN New PIN Current PIN Change PIN,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
27,CreditTransfer,Make Transaction Confirm Amount Amount must be valid UserId/Username/Mobile No Debit Credit Credit Transfer,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.EditText android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
28,BankDetails,Bank Details Bank Details,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
29,HelpMenu,Recharge application has two modulesSMS based recharge (Offline)GPRS based recharge (Online)SMS based recharge (Offline)SMS based recharge works by sending SMS from your SIM card to our server number so please make sure that you have configured PIN correctly.Normal messaging charges applies for each request.GPRS based recharge (Online)GPRS based recharge users GPRS connection to communicate with our server so please make sure that you have configured User Id or Username and Password correctly and GPRS connection should activated on your handset/number if you don't know the User Id or Username then please contact your administrator.GPRS/Data charges appliesHandling recharge disputes Help,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
30,Circles,Rihanna Love the way lie,android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
31,Operators,Rihanna Love the way lie,android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
32,RechargeMain,2131165236,android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
33,MoreMain,2131165236,android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
